key,id,lecture,run,+normal,+repeat,+if,5#,10#,30#,60#,300#,long#
s9LbVd8I,38,409,0,0,0,0,0,0,0,0,0,0
iD4C4Dbl,90,409,0,0,0,0,0,0,0,0,0,0
3xAwwyUw,95,409,0,0,0,0,0,0,0,0,0,0
nh7Tifzs,120,409,0,0,0,0,0,0,0,0,0,0
EptAixyl,259,409,0,0,0,0,0,0,0,0,0,0
MKAqsu01,537,409,0,0,0,0,0,0,0,0,0,0
bqTuhNvo,585,409,0,0,0,0,0,0,0,0,0,0
tEPb29cR,618,409,1,0,0,0,0,0,0,0,0,0
TrQ0Xx0g,714,409,0,0,0,0,0,0,0,0,0,0
sVjVTtEQ,724,409,0,0,0,0,0,0,0,0,0,0
NcFfCtWu,770,409,0,0,0,0,0,0,0,0,0,0
fYC4Us2H,853,409,0,0,0,0,0,0,0,0,0,0
zM5UdL33,899,409,0,0,0,0,0,0,0,0,0,0
gjFHCLEM,1120,409,0,0,0,0,0,0,0,0,0,0
vHIdunkp,1253,409,0,0,0,0,0,0,0,0,0,0
ndzr2bXZ,1414,409,0,0,0,0,0,0,0,0,0,0
Ty58gqsB,1454,409,0,0,0,0,0,0,0,0,0,0
G2yQYwP3,1478,409,0,0,0,0,0,0,0,0,0,0
dUD2kHlW,1529,409,0,0,0,0,0,0,0,0,0,0
U9nnO0y7,1720,409,0,0,0,0,0,0,0,0,0,0
eaQxGGbO,1727,409,1,0,0,0,0,0,0,0,0,0
LBI0n8q1,1753,409,0,0,0,0,0,0,0,0,0,0
s2kWyYNS,1865,409,0,0,0,0,0,0,0,0,0,0
ZZsd4Jbb,1873,409,1,0,0,0,0,0,0,0,0,0
zjPZYZFW,1892,409,0,0,0,0,0,0,0,0,0,0
6ZXJLD8B,1920,409,0,0,0,0,0,0,0,0,0,0
uiFATxIo,1939,409,0,0,0,0,0,0,0,0,0,0
KR7fzsmz,2011,409,0,0,0,0,0,0,0,0,0,0
QbzeL4fn,2079,409,0,0,0,0,0,0,0,0,0,0
I8yZpQqL,2142,409,0,0,0,0,0,0,0,0,0,0
gUEBRS2m,2154,409,0,0,0,0,0,0,0,0,0,0
F1zDGaHD,2167,409,0,0,0,0,0,0,0,0,0,0
cDekWSzB,2234,409,0,0,0,0,0,0,0,0,0,0
r0H3lWXr,2256,409,0,0,0,0,0,0,0,0,0,0
TZQyQYRL,2287,409,0,0,0,0,0,0,0,0,0,0
CeBeh4f2,2292,409,0,0,0,0,0,0,0,0,0,0
wWB9z6rM,2321,409,0,0,0,0,0,0,0,0,0,0
ZFLvZ7LL,2450,409,0,0,0,0,0,0,0,0,0,0
ycMKSakz,2495,409,0,0,0,0,0,0,0,0,0,0
SMLtJqv3,2563,409,0,0,0,0,0,0,0,0,0,0
uWqR0XVQ,2568,409,0,0,0,0,0,0,0,0,0,0
IyBoRxWH,2632,409,0,0,0,0,0,0,0,0,0,0
8FYxgJUi,2640,409,0,0,0,0,0,0,0,0,0,0
45Axnod0,2672,409,0,0,0,0,0,0,0,0,0,0
Z0vy2i05,2705,409,1,0,0,0,0,0,0,0,0,0
vh9Y5NO8,2737,409,0,0,0,0,0,0,0,0,0,0
MHyQZCjL,2849,409,0,0,0,0,0,0,0,0,0,0
sOnIoAoh,2863,409,0,0,0,0,0,0,0,0,0,0
vnQV5kk6,2869,409,0,0,0,0,0,0,0,0,0,0
kWETjZ7R,2937,409,0,0,0,0,0,0,0,0,0,0
thgZF3hO,2972,409,0,0,0,0,0,0,0,0,0,0
5NhwIRQx,3056,409,0,0,0,0,0,0,0,0,0,0
uaWLQBak,3074,409,0,0,0,0,0,0,0,0,0,0
WAugXqaR,3076,409,0,0,0,0,0,0,0,0,0,0
jEDrt6Ly,3079,409,0,0,0,0,0,0,0,0,0,0
lesoOlzt,3158,409,0,0,0,0,0,0,0,0,0,0
FQzLSyz3,3186,409,1,0,0,0,0,0,0,0,0,0
ZjjoR6tA,3193,409,0,0,0,0,0,0,0,0,0,0
L38DNYpn,3219,409,1,0,0,0,0,0,0,0,0,0
uN79mzvV,3274,409,0,0,0,0,0,0,0,0,0,0
9MxiQtzz,3309,409,0,0,0,0,0,0,0,0,0,0
3c98QQYt,3314,409,1,0,0,0,0,0,0,0,0,0
2n0OAZEw,3323,409,0,0,0,0,0,0,0,0,0,0
2GhhFgUF,3325,409,0,0,0,0,0,0,0,0,0,0
DPvpbBwk,3333,409,0,0,0,0,0,0,0,0,0,0
yiljCbBe,3340,409,0,0,0,0,0,0,0,0,0,0
TYkym1JR,3455,409,0,0,0,0,0,0,0,0,0,0
47sjbScT,3470,409,0,0,0,0,0,0,0,0,0,0
uNEKXSzS,3488,409,0,0,0,0,0,0,0,0,0,0
xzBXTydU,3494,409,0,0,0,0,0,0,0,0,0,0
gQY5C0d7,3518,409,0,0,0,0,0,0,0,0,0,0
q4BntzU9,3620,409,0,0,0,0,0,0,0,0,0,0
